1  2,4,5-TP         2600.0    0.40 5.0     20.0    0.75 2.500      
2  2 Plus 2         20.0      0.95 10.0    21.0    0.75 660000.000 
3  Aatrex           100.0     0.45 5.0     60.0    0.75 33.000     
4  Abate            100000.0  0.65 5.0     30.0    0.75 0.001      
5  Acaraben         2000.0    0.05 10.0    20.0    0.75 13.000     
6  Accelerate       20.0      0.90 7.0     7.0     0.75 100000.000 
7  Acclaim          9490.0    0.20 5.0     9.0     0.75 0.800      
8  Alanap           20.0      0.95 7.0     14.0    0.75 231000.000 
9  Alar             10.0      0.95 4.0     7.0     0.75 100000.000 
73 Dedweed          20.0      0.95 7.0     25.0    0.75 866000.000 
74 DEF              5000.0    0.25 7.0     30.0    0.75 2.300      
75 Dessicant L-10   100000.0  0.95 10000.0 10000.0 0.75 17000.000  
76 Devrinol         400.0     0.60 15.0    70.0    0.75 74.000     
77 Di-Syston        600.0     0.50 3.0     30.0    0.75 25.000     
78 Dibrom           180.0     0.90 5.0     1.0     0.75 2000.000   
79 Dieldrin         50000.0   0.05 5.0     1400.0  0.75 0.100      
80 Dimilin          10000.0   0.05 27.0    10.0    0.75 0.080      
81 Dinitro          500.0     0.60 3.0     20.0    0.75 50.000     
82 Diquat           1000000.0 0.95 30.0    1000.0  0.75 718000.000 
83 Dithane          2000.0    0.25 10.0    70.0    0.75 6.000      
84 Dowpon           4.0       0.95 37.0    30.0    0.75 1000.000   
85 Dropp            110.0     0.40 3.0     10.0    0.75 20.000     
86 DSMA             100000.0  0.95 30.0    1000.0  0.75 1400000.000
87 Du-ter           23000.0   0.40 18.0    75.0    0.75 1.000      
88 Dual             200.0     0.60 5.0     90.0    0.75 530.000    
89 Dyfonate         870.0     0.60 2.5     40.0    0.75 16.900     
90 Dylox            10.0      0.95 3.0     10.0    0.75 120000.000 
91 Dymid            210.0     0.80 5.0     30.0    0.75 260.000    
92 Dyrene           3000.0    0.50 5.0     1.0     0.75 8.000      
93 Elgetol          20.0      0.95 8.0     20.0    0.75 100000.000 
94 EPN              13000.0   0.60 5.0     5.0     0.75 0.500      
95 Eradicane        200.0     0.75 3.0     6.0     0.75 344.000    
96 Ethanox          10000.0   0.65 7.0     150.0   0.75 1.100      
97 Evik             300.0     0.65 5.0     60.0    0.75 185.000    
98 Evital           600.0     0.50 15.0    90.0    0.75 28.000     
99 Far-Go           2400.0    0.40 15.0    82.0    0.75 4.000      
100Fenatrol         20.0      0.95 30.0    180.0   0.75 500000.000 
101Fenitox          2000.0    0.90 3.0     8.0     0.75 30.000     
102Fruitone CPA     20.0      0.95 3.0     10.0    0.75 200000.000 
103Fundal           100000.0  0.90 1.0     60.0    0.75 500000.000 
104Funginex         540.0     0.80 5.0     21.0    0.75 30.000     
105Furadan          22.0      0.55 2.0     50.0    0.75 351.000    
106Fusilade         5700.0    0.40 4.0     15.0    0.75 2.000      
107Glean            40.0      0.75 30.0    160.0   0.75 7000.000   
108Goal             100000.0  0.40 8.0     35.0    0.75 0.100      
109Guthion          1000.0    0.65 2.0     10.0    0.75 29.000     
110Harmony          45.0      0.80 3.0     12.0    0.75 2400.000   
111Harvade          10.0      0.80 3.0     10.0    0.75 3000.000   
112Hoelon           16000.0   0.45 8.0     37.0    0.75 0.800      
113Hyvar            32.0      0.75 20.0    60.0    0.75 700.000    
114Imidan           820.0     0.90 3.0     19.0    0.75 20.000     
115Isotox           1100.0    0.05 2.5     400.0   0.75 7.300      
116Karate           180000.0  0.40 5.0     30.0    0.75 0.005      
117Karathane        550.0     0.30 8.0     20.0    0.75 4.000      
118Karmex           480.0     0.45 30.0    90.0    0.75 42.000     
119Kelthane         180000.0  0.05 4.0     60.0    0.75 1.000      
120Kerb             200.0     0.30 20.0    60.0    0.75 15.000     
121Krenite          150.0     0.95 4.0     8.0     0.75 1790000.000
122Lannate          72.0      0.55 0.5     30.0    0.75 58000.000  
123Larvadex         200.0     0.95 30.0    150.0   0.75 136000.000 
124Larvin           350.0     0.70 4.0     7.0     0.75 19.100     
125Lasso            170.0     0.40 3.0     15.0    0.75 240.000    
126Limit            1000.0    0.70 8.0     20.0    0.75 10.000     
127Lontrel          6.0       0.95 2.0     30.0    0.75 300000.000 
128Lorox            400.0     0.60 15.0    60.0    0.75 75.000     
129Lorsban          6070.0    0.65 3.3     30.0    0.75 0.400      
130Manzate          1000.0    0.65 3.0     12.0    0.75 6.000      
131Marlate          80000.0   0.05 6.0     120.0   0.75 0.100      
132Matacil          100.0     0.90 4.0     6.0     0.75 915.000    
133Mavrik           1000000.0 0.40 7.0     30.0    0.75 0.005      
134Metasystox       10.0      0.95 3.0     10.0    0.75 1000000.000
135Milogard         154.0     0.45 5.0     135.0   0.75 8.600      
136Miral            100.0     0.65 5.0     34.0    0.75 69.000     
137Mitac            1000.0    0.45 1.0     2.0     0.75 1.000      
138Modown           10000.0   0.40 3.0     7.0     0.75 0.400      
139Monitor          5.0       0.95 4.0     6.0     0.75 1000000.000
140Morestan         2300.0    0.50 10.0    30.0    0.75 1.000      
141Nemacur          240.0     0.70 5.0     5.0     0.75 400.000    
142Nemacur Sulfone  45.0      0.70 18.0    18.0    0.75 400.000    
143Nemacur Sulfoxide40.0      0.70 42.0    42.0    0.75 400.000    
144Norton           340.0     0.65 10.0    30.0    0.75 50.000     
145Octave           500.0     0.50 30.0    120.0   0.75 34.000     
146Oftanol          600.0     0.65 30.0    150.0   0.75 24.000     
147Orthene          2.0       0.70 2.5     3.0     0.75 818000.000 
148Orthocide        200.0     0.65 9.0     2.5     0.75 5.100      
149Oust             78.0      0.65 10.0    20.0    0.75 70.000     
150Pay-Off          100000.0  0.40 5.0     21.0    0.75 0.060      
151Penncap-M        5100.0    0.90 3.0     5.0     0.75 60.000     
152Phenatox         100000.0  0.05 2.0     9.0     0.75 3.000      
153Phosdrin         44.0      0.95 0.6     3.0     0.75 600000.000 
154Phoskil          5000.0    0.70 4.0     14.0    0.75 24.000     
155Pipron           5000.0    0.60 10.0    30.0    0.75 20.000     
156Pix              1000000.0 0.95 30.0    1000.0  0.75 1000000.000
157Plantvax         95.0      0.70 10.0    20.0    0.75 1000.000   
158Poast            100.0     0.70 3.0     5.0     0.75 4390.000   
159Polyram          500000.0  0.40 7.0     20.0    0.75 0.100      
160Pounce           100000.0  0.30 8.0     30.0    0.75 0.006      
161Pramitol         150.0     0.75 30.0    500.0   0.75 720.000    
162Prefar           1000.0    0.40 30.0    120.0   0.75 5.600      
163Prelude          1000000.0 0.60 30.0    1000.0  0.75 620000.000 
164Prime            10000.0   0.40 7.0     20.0    0.75 0.100      
165Princep          130.0     0.40 5.0     60.0    0.75 6.200      
166Probe            3000.0    0.40 5.0     14.0    0.75 1.500      
167Prowl            5000.0    0.40 30.0    90.0    0.75 0.275      
168Pursuit          10.0      0.90 20.0    90.0    0.75 200000.000 
169Pydrin           5300.0    0.25 10.0    35.0    0.75 0.002      
170Pyramin          120.0     0.85 5.0     21.0    0.75 400.000    
171Ramrod           80.0      0.40 3.0     6.0     0.75 613.000    
172Reflex           60.0      0.95 30.0    100.0   0.75 700000.000 
173Rescue           20.0      0.45 9.0     10.0    0.75 709000.000 
174Ridomil          50.0      0.70 30.0    70.0    0.75 8400.000   
175Ro-Neet          430.0     0.50 2.0     30.0    0.75 95.000     
176Ronstar          3200.0    0.50 20.0    60.0    0.75 0.700      
177Roundup          24000.0   0.60 2.5     47.0    0.75 900000.000 
178Rovral           700.0     0.40 5.0     14.0    0.75 13.900     
179Royal Slo-Gro    20.0      0.95 10.0    30.0    0.75 400000.000 
180Rubigan          600.0     0.40 30.0    360.0   0.75 14.000     
181Sancap           900.0     0.40 5.0     30.0    0.75 16.000     
182Savey            6200.0    0.40 5.0     30.0    0.75 0.500      
183Scepter          20.0      0.95 20.0    60.0    0.75 160000.000 
184Sencor           60.0      0.80 5.0     40.0    0.75 1220.000   
185Sevin            300.0     0.55 7.0     10.0    0.75 120.000    
186Sinbar           55.0      0.70 30.0    120.0   0.75 710.000    
187Slug-Geta        300.0     0.70 10.0    30.0    0.75 24.000     
188Sonalan          4000.0    0.40 4.0     60.0    0.75 0.300      
189Spectracide      1000.0    0.90 4.0     40.0    0.75 60.000     
190Spike            80.0      0.90 30.0    360.0   0.75 2500.000   
191Sprout Nip       400.0     0.90 8.0     30.0    0.75 89.000     
192Stam             149.0     0.70 1.0     1.0     0.75 200.000    
193Supracide        400.0     0.90 3.0     7.0     0.75 220.000    
194Surflan          600.0     0.40 5.0     20.0    0.75 2.500      
195Sutan            400.0     0.30 1.0     13.0    0.75 44.000     
196Swat             7.0       0.95 5.0     17.0    0.75 1000000.000
197Tackle           113.0     0.95 5.0     14.0    0.75 250000.000 
198Talstar          240000.0  0.40 7.0     26.0    0.75 0.100      
199Tandem           5600.0    0.40 8.0     28.0    0.75 1.800      
200Tanone           250.0     0.65 2.0     40.0    0.75 200.000    
201Tattoo           570.0     0.85 3.0     5.0     0.75 40.000     
202TBZ              2500.0    0.60 30.0    403.0   0.75 50.000     
203Temik            40.0      0.70 7.0     7.0     0.75 6000.000   
204Temik Sulfone    10.0      0.70 20.0    20.0    0.75 6000.000   
205Temik Sulfoxide  30.0      0.70 30.0    30.0    0.75 6000.000   
206Tenoran          3000.0    0.40 15.0    60.0    0.75 2.500      
207Terbutrex        2000.0    0.50 5.0     42.0    0.75 22.000     
208Terrachlor       5000.0    0.40 4.0     21.0    0.75 0.440      
209Terraneb         1650.0    0.50 30.0    130.0   0.75 8.000      
210Terrazole        1000.0    0.60 3.0     20.0    0.75 50.000     
211Thimet           1000.0    0.60 2.0     60.0    0.75 22.000     
212Thiodan          12400.0   0.05 3.0     50.0    0.75 0.320      
213Thiram           670.0     0.50 8.0     15.0    0.75 30.000     
214Thistrol         20.0      0.95 7.0     14.0    0.75 200000.000 
215Tillam           430.0     0.70 4.0     14.0    0.75 100.000    
216Tilt             1000.0    0.70 30.0    110.0   0.75 110.000    
217Tolban           2240.0    0.35 1.0     140.0   0.75 0.100      
218Topsin           1830.0    0.40 5.0     10.0    0.75 3.500      
219Tordon           16.0      0.60 8.0     90.0    0.75 200000.000 
220Tralomethrin     100000.0  0.40 1.0     27.0    0.75 0.001      
221Treflan          8000.0    0.40 3.0     60.0    0.75 0.300      
222Tre-Hold         300.0     0.40 5.0     10.0    0.75 105.000    
223Tupersan         420.0     0.70 30.0    90.0    0.75 18.000     
224Turflon          780.0     0.70 15.0    46.0    0.75 23.000     
225Velpar           54.0      0.90 30.0    90.0    0.75 3300.000   
226Vendex           2300.0    0.20 30.0    90.0    0.75 0.013      
227Vernam           260.0     0.80 2.0     12.0    0.75 108.000    
228Volck oils       1000.0    0.50 2.0     10.0    0.75 100.000    
229Vydate           25.0      0.95 4.0     4.0     0.75 282000.000 
230Weedar           20.0      0.45 9.0     10.0    0.75 796000.000 
231Weed-B-Gon       80.0      0.45 10.0    24.0    0.75 500000.000 
232Wedone           1000.0    0.45 9.0     10.0    0.75 50.000     
233Zolone           1800.0    0.65 8.0     21.0    0.75 3.000      
